timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-09 16:16:49.006979	[0.0465097613632679, 1.6197973489761353, 0.629664957523346]	[-0.4895077645778656, 0.3764643967151642, 0.4133320450782776]	[-0.32588887214660645, 1.9070879220962524, 0.3598775565624237]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08713137358427048, 0.14210277795791626, 0.6195676326751709]	[0.4500218331813812, 1.7018566131591797, 0.8555244207382202]	[0.051688920706510544, 0.7246949076652527, -0.017561495304107666, 0.6869040727615356]	[-0.17816118896007538, 0.34948989748954773, -0.11085150390863419, 0.9131415486335754]	[-0.5909531116485596, 0.6320570111274719, -0.15686030685901642, -0.4761020839214325]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.055057503283023834, -0.5215620398521423, -0.025760235264897346, -0.8510453104972839]	[-0.09958107769489288, -0.09491433948278427, 0.9390522241592407, 0.3150489628314972]
2024-07-09 16:16:49.022069	[0.0388750396668911, 1.6212594509124756, 0.6262484788894653]	[-0.5111810564994812, 0.3587571680545807, 0.40352943539619446]	[-0.36186492443084717, 1.890248417854309, 0.3428143262863159]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08738785982131958, 0.14215755462646484, 0.6198263168334961]	[0.47231554985046387, 1.6768970489501953, 0.8699124455451965]	[0.04856610298156738, 0.7338159680366516, -0.013746298849582672, 0.6774707436561584]	[-0.13997866213321686, 0.3312299847602844, -0.1238451898097992, 0.924854040145874]	[-0.6010296940803528, 0.596550464630127, -0.15251828730106354, -0.5095381736755371]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.05488848686218262, -0.5240737199783325, -0.02906983345746994, -0.8494051098823547]	[-0.11238834261894226, -0.09649800509214401, 0.925466001033783, 0.34866848587989807]
2024-07-09 16:16:49.034140	[0.03617144376039505, 1.6218181848526, 0.6249635815620422]	[-0.5250161290168762, 0.3479631841182709, 0.3968054950237274]	[-0.3855145573616028, 1.8774707317352295, 0.3317590355873108]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.0875677540898323, 0.14218153059482574, 0.6200207471847534]	[0.4858573079109192, 1.6580290794372559, 0.8793460130691528]	[0.04767909646034241, 0.736118495464325, -0.012089516967535019, 0.6750631332397461]	[-0.12786152958869934, 0.3245199918746948, -0.12993638217449188, 0.9281458258628845]	[-0.601712703704834, 0.5874853730201721, -0.15464892983436584, -0.5185427069664001]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.05468828231096268, -0.5251551270484924, -0.029829710721969604, -0.8487235307693481]	[-0.1281237155199051, -0.09217127412557602, 0.909216582775116, 0.38524532318115234]
2024-07-09 16:16:49.049775	[0.030732106417417526, 1.6230157613754272, 0.6224015355110168]	[-0.5383685827255249, 0.33836063742637634, 0.3901730477809906]	[-0.4085184335708618, 1.864263892173767, 0.3228471279144287]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.0877871960401535, 0.14223352074623108, 0.6202227473258972]	[0.49851056933403015, 1.6377731561660767, 0.888595700263977]	[0.045348361134529114, 0.7407294511795044, -0.008337395265698433, 0.6702193021774292]	[-0.10351140797138214, 0.3080548644065857, -0.13872785866260529, 0.9354903697967529]	[-0.5987823605537415, 0.5559806227684021, -0.1458728164434433, -0.5577333569526672]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.0540718138217926, -0.5268632769584656, -0.030925972387194633, -0.8476644158363342]	[-0.15261192619800568, -0.09385544061660767, 0.8897855877876282, 0.4197409749031067]
2024-07-09 16:16:49.062501	[0.02492118999361992, 1.6241496801376343, 0.61965411901474]	[-0.5509156584739685, 0.3294687569141388, 0.3835527300834656]	[-0.43196019530296326, 1.8480833768844604, 0.30840060114860535]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08808790892362595, 0.14227311313152313, 0.6203160881996155]	[0.5092507004737854, 1.6160697937011719, 0.8970034718513489]	[0.042503420263528824, 0.7450510263442993, -0.006350911222398281, 0.6656216382980347]	[-0.08076509088277817, 0.2909848093986511, -0.1504742056131363, 0.9413619637489319]	[-0.5907419323921204, 0.5417877435684204, -0.18380777537822723, -0.5689506530761719]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.05362965166568756, -0.5275216698646545, -0.03247281536459923, -0.84722501039505]	[-0.170379638671875, -0.08775590360164642, 0.8684957027435303, 0.45714879035949707]
2024-07-09 16:16:49.076154	[0.022021446377038956, 1.6247553825378418, 0.6181851625442505]	[-0.5568285584449768, 0.325420081615448, 0.38032209873199463]	[-0.44361740350723267, 1.8399578332901, 0.30280786752700806]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08817078173160553, 0.14236405491828918, 0.620334804058075]	[0.5143345594406128, 1.6042907238006592, 0.9011832475662231]	[0.04146590828895569, 0.7467097640037537, -0.0031635707709938288, 0.6638488173484802]	[-0.06906647980213165, 0.28124162554740906, -0.1536252796649933, 0.9447393417358398]	[-0.5880075097084045, 0.5324110984802246, -0.1888425052165985, -0.578899085521698]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.052620548754930496, -0.5281539559364319, -0.032941076904535294, -0.8468762040138245]	[-0.17806001007556915, -0.08602767437696457, 0.8560016751289368, 0.4776558578014374]
2024-07-09 16:16:49.089300	[0.01885083131492138, 1.625253677368164, 0.6167778372764587]	[-0.5624745488166809, 0.32157671451568604, 0.37712404131889343]	[-0.4551585614681244, 1.8316527605056763, 0.29706141352653503]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08827944844961166, 0.14239300787448883, 0.6203079223632812]	[0.518817663192749, 1.592787265777588, 0.9048998951911926]	[0.038198187947273254, 0.7506885528564453, -0.002170332008972764, 0.6595475673675537]	[-0.04682953283190727, 0.26263856887817383, -0.15739253163337708, 0.9508184194564819]	[-0.5850817561149597, 0.5142201781272888, -0.19853471219539642, -0.5948454141616821]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.05212559551000595, -0.5287055969238281, -0.033038243651390076, -0.8465588092803955]	[-0.1835263967514038, -0.08462948352098465, 0.8448536396026611, 0.4953567683696747]
2024-07-09 16:16:49.101324	[0.012448277324438095, 1.6261721849441528, 0.613777756690979]	[-0.5726912021636963, 0.3149879276752472, 0.3714359700679779]	[-0.47860950231552124, 1.8135877847671509, 0.285581111907959]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08848243206739426, 0.14242304861545563, 0.6201780438423157]	[0.5267031788825989, 1.5686087608337402, 0.9120301604270935]	[0.036545708775520325, 0.7526018023490906, -0.0013749600620940328, 0.6574594974517822]	[-0.036693643778562546, 0.25527361035346985, -0.16246987879276276, 0.9524140357971191]	[-0.5849449634552002, 0.5069072246551514, -0.20229607820510864, -0.5999673008918762]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.05096310377120972, -0.5301826596260071, -0.03361724689602852, -0.8456825613975525]	[-0.19284038245677948, -0.08160039782524109, 0.8229724168777466, 0.5280819535255432]
2024-07-09 16:16:49.116453	[0.005660875700414181, 1.62709641456604, 0.6105115413665771]	[-0.5815634727478027, 0.3091922998428345, 0.36678439378738403]	[-0.5018455386161804, 1.7945479154586792, 0.27535784244537354]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08852534741163254, 0.14249774813652039, 0.6200239658355713]	[0.5325143933296204, 1.5431432723999023, 0.918660044670105]	[0.03386588394641876, 0.7559401392936707, 0.0014863181859254837, 0.6537625193595886]	[-0.015732623636722565, 0.24155618250370026, -0.16437095403671265, 0.9562349915504456]	[-0.5823203921318054, 0.4875229299068451, -0.21185536682605743, -0.6150949001312256]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.049586083739995956, -0.5319940447807312, -0.03416768088936806, -0.8446041345596313]	[-0.19985759258270264, -0.06922788918018341, 0.8008595108985901, 0.560257613658905]
2024-07-09 16:16:49.131471	[-0.0013198534725233912, 1.6278891563415527, 0.6070827841758728]	[-0.5892519354820251, 0.30395326018333435, 0.3628326952457428]	[-0.5244923830032349, 1.7749768495559692, 0.2662317156791687]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.08853092789649963, 0.1425429731607437, 0.6197763085365295]	[0.5364933013916016, 1.5169956684112549, 0.9246580600738525]	[0.03038010001182556, 0.759021520614624, 0.003625954734161496, 0.6503462195396423]	[0.0006257738568820059, 0.2269403338432312, -0.16977813839912415, 0.9589959383010864]	[-0.5801056027412415, 0.46716609597206116, -0.22513197362422943, -0.6281313300132751]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[-0.04838972166180611, -0.5347855091094971, -0.034693580120801926, -0.8428874611854553]	[-0.20466870069503784, -0.0616956427693367, 0.7794584631919861, 0.5888539552688599]
