timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-09 15:48:36.981495	[-0.16088230907917023, 1.6048245429992676, 0.46533092856407166]	[-0.39496004581451416, 0.12201754003763199, 0.5329053997993469]	[-0.3982906937599182, 1.214146375656128, 0.2769079804420471]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.01571568101644516, 0.13124488294124603, 0.6480136513710022]	[0.17597360908985138, 1.2066699266433716, 0.5225338339805603]	[-0.058474596589803696, 0.7953518033027649, 0.017436278983950615, 0.603069007396698]	[-0.19074667990207672, 0.01262507401406765, -0.07712972909212112, 0.9785230159759521]	[-0.6087332963943481, 0.5075658559799194, -0.3843439221382141, -0.4733926057815552]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06947730481624603, -0.540373682975769, 0.08740635216236115, -0.8339840173721313]	[0.08926887810230255, -0.02505662851035595, 0.9125973582267761, 0.39820754528045654]
2024-07-09 15:48:36.992762	[-0.16084271669387817, 1.6048425436019897, 0.4659201502799988]	[-0.39510878920555115, 0.12198730558156967, 0.5330249071121216]	[-0.3988652527332306, 1.2146319150924683, 0.27765947580337524]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015685254707932472, 0.13117793202400208, 0.648186206817627]	[0.1758217215538025, 1.2076408863067627, 0.5235119462013245]	[-0.057984378188848495, 0.7954418659210205, 0.017134513705968857, 0.6030062437057495]	[-0.18989062309265137, 0.012591049075126648, -0.07648672163486481, 0.978740394115448]	[-0.6086478233337402, 0.5078546404838562, -0.3845214545726776, -0.47304850816726685]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06916679441928864, -0.5400299429893494, 0.08743631094694138, -0.8342293500900269]	[0.08861517906188965, -0.027205904945731163, 0.9129511713981628, 0.3974008858203888]
2024-07-09 15:48:37.003295	[-0.16078370809555054, 1.6048249006271362, 0.46647027134895325]	[-0.39526790380477905, 0.12194599956274033, 0.5331466794013977]	[-0.39947205781936646, 1.2151466608047485, 0.278516948223114]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.01564556173980236, 0.13112452626228333, 0.6483407020568848]	[0.17567093670368195, 1.208467960357666, 0.5244534611701965]	[-0.05797633156180382, 0.7953242063522339, 0.016167165711522102, 0.6031889915466309]	[-0.18947437405586243, 0.012669965624809265, -0.076004259288311, 0.978857696056366]	[-0.6092608571052551, 0.5076060891151428, -0.38458576798439026, -0.4724733233451843]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06896083801984787, -0.5399160385131836, 0.0870593935251236, -0.8343595266342163]	[0.08786634355783463, -0.028432562947273254, 0.9138087630271912, 0.3955055773258209]
2024-07-09 15:48:37.014416	[-0.16068382561206818, 1.604721188545227, 0.4675023555755615]	[-0.3955587148666382, 0.12183467298746109, 0.5333458781242371]	[-0.40039271116256714, 1.2159875631332397, 0.2802596986293793]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015579544007778168, 0.13107721507549286, 0.6485703587532043]	[0.17525948584079742, 1.2099242210388184, 0.5263209939002991]	[-0.05795803666114807, 0.7949448823928833, 0.014859149232506752, 0.6037241220474243]	[-0.18880939483642578, 0.012867921032011509, -0.0756397694349289, 0.9790118336677551]	[-0.6109198927879333, 0.5075042247772217, -0.38262584805488586, -0.4720315933227539]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06831824034452438, -0.5396285057067871, 0.08679638057947159, -0.8346257209777832]	[0.08849015831947327, -0.030050693079829216, 0.9158721566200256, 0.39044174551963806]
2024-07-09 15:48:37.025623	[-0.16066233813762665, 1.6046617031097412, 0.4680325984954834]	[-0.395686537027359, 0.12179683893918991, 0.5334341526031494]	[-0.40071797370910645, 1.2164231538772583, 0.2810277044773102]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015544659458100796, 0.13107675313949585, 0.648658037185669]	[0.1750352680683136, 1.2105557918548584, 0.5271680355072021]	[-0.057777587324380875, 0.794797420501709, 0.013948958367109299, 0.6039571166038513]	[-0.18836557865142822, 0.01288588996976614, -0.07558926194906235, 0.9791009426116943]	[-0.6124444007873535, 0.5079008340835571, -0.3804786503314972, -0.47136467695236206]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06782512366771698, -0.5396592617034912, 0.08673212677240372, -0.8346527218818665]	[0.08869169652462006, -0.03185303136706352, 0.9163713455200195, 0.38907936215400696]
2024-07-09 15:48:37.036894	[-0.16066615283489227, 1.6046462059020996, 0.468612939119339]	[-0.3957887291908264, 0.12174589186906815, 0.5334961414337158]	[-0.40103647112846375, 1.2169182300567627, 0.28170138597488403]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015498478896915913, 0.1310492604970932, 0.6487792134284973]	[0.17485684156417847, 1.211114764213562, 0.5280540585517883]	[-0.05762637406587601, 0.7945894598960876, 0.013377363793551922, 0.604258120059967]	[-0.1878117024898529, 0.012722769752144814, -0.07581597566604614, 0.9791918992996216]	[-0.6120397448539734, 0.5086153745651245, -0.38112446665763855, -0.47059744596481323]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06808072328567505, -0.5393583178520203, 0.08701528608798981, -0.8347969055175781]	[0.08839832246303558, -0.03549668565392494, 0.9164891242980957, 0.3885531425476074]
2024-07-09 15:48:37.048144	[-0.16072800755500793, 1.6045161485671997, 0.4696807563304901]	[-0.3959692120552063, 0.12168396264314651, 0.5336329936981201]	[-0.40159091353416443, 1.2176660299301147, 0.2833557426929474]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015440477058291435, 0.1310318112373352, 0.6490020155906677]	[0.17433422803878784, 1.2118772268295288, 0.5298408269882202]	[-0.05832196772098541, 0.7943077087402344, 0.01100170612335205, 0.6046095490455627]	[-0.18702547252178192, 0.012190318666398525, -0.07558640092611313, 0.9793669581413269]	[-0.6113471984863281, 0.5082494616508484, -0.38182100653648376, -0.47132769227027893]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.0674801617860794, -0.5395456552505493, 0.08625973761081696, -0.83480304479599]	[0.08975250273942947, -0.037461377680301666, 0.9163823127746582, 0.38830989599227905]
2024-07-09 15:48:37.059347	[-0.16081362962722778, 1.6044683456420898, 0.47015684843063354]	[-0.3960581123828888, 0.1216549500823021, 0.5336933135986328]	[-0.40161561965942383, 1.2179393768310547, 0.2840045392513275]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015447942540049553, 0.13103370368480682, 0.6491127610206604]	[0.17404471337795258, 1.212126612663269, 0.5306040048599243]	[-0.058594074100255966, 0.7942173480987549, 0.009876270778477192, 0.6047214269638062]	[-0.18645545840263367, 0.011861875653266907, -0.07587724179029465, 0.9794571995735168]	[-0.6125227212905884, 0.5091555118560791, -0.3805646300315857, -0.46983733773231506]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06728629767894745, -0.5395663976669312, 0.08592630922794342, -0.8348397016525269]	[0.0901615172624588, -0.038538072258234024, 0.9165089726448059, 0.38781052827835083]
2024-07-09 15:48:37.070575	[-0.16100934147834778, 1.6044058799743652, 0.4713149666786194]	[-0.39613237977027893, 0.12159650027751923, 0.533791720867157]	[-0.4017140865325928, 1.2185958623886108, 0.2854177951812744]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015438774600625038, 0.13097216188907623, 0.6493646502494812]	[0.17343097925186157, 1.2124959230422974, 0.5319432020187378]	[-0.05920397862792015, 0.7937644720077515, 0.007629231084138155, 0.6052888631820679]	[-0.18607094883918762, 0.011082801036536694, -0.07564056664705276, 0.9795576930046082]	[-0.6137640476226807, 0.5093194842338562, -0.3800627589225769, -0.4684438109397888]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06689368188381195, -0.5396420955657959, 0.08528691530227661, -0.8348879218101501]	[0.09189493209123611, -0.04065322503447533, 0.9168636202812195, 0.386346697807312]
2024-07-09 15:48:37.081815	[-0.16118057072162628, 1.6043403148651123, 0.47183483839035034]	[-0.39622023701667786, 0.12161128968000412, 0.5338510274887085]	[-0.40165048837661743, 1.2188700437545776, 0.28600016236305237]	[0.383564293384552, 1.0439038276672363, -3.6579318046569824]	[-0.015466287732124329, 0.13096970319747925, 0.6494985222816467]	[0.17312635481357574, 1.2125664949417114, 0.5325966477394104]	[-0.05971122905611992, 0.7937778234481812, 0.007031107321381569, 0.605228841304779]	[-0.18608061969280243, 0.01030327845364809, -0.0747494250535965, 0.9796327352523804]	[-0.613816499710083, 0.5098570585250854, -0.38034388422966003, -0.46756136417388916]	[-0.05377720296382904, -0.5806141495704651, -0.03714488074183464, -0.8115513920783997]	[0.06671234965324402, -0.5399389863014221, 0.08486657589673996, -0.8347533345222473]	[0.09211640059947968, -0.04081817716360092, 0.917006254196167, 0.3859378397464752]
