timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-12 18:51:52.502329	[0.026235442623496055, 0.35326674828926713, 1.177]	[-0.04750025757774713, -0.1260227146744728, 1.8780000000000001]	[-0.0022231873311102392, 0.22939889818429948, 1.33]
2024-07-12 18:51:52.680822	[0.0195710269510746, 0.3436926738023758, 1.187]	[-0.034338892601430394, -0.16703230512142184, 1.926]	[-0.00400565841794014, 0.22165218687057495, 1.224]
2024-07-12 18:51:52.787122	[0.023873708546161623, 0.34196085015932726, 1.19]	[-0.034928750328719615, -0.15902403489748634, 1.919]	[-0.002787908082827926, 0.22960172116756442, 1.33]
2024-07-12 18:51:52.964777	[0.02673661932349202, 0.34554246028264357, 1.19]	[-0.03425800440832975, -0.16082970966895418, 1.93]	[-0.003223235953599215, 0.22835050421953204, 1.3820000000000001]
2024-07-12 18:51:53.163572	[0.031328719630837436, 0.3421149294376372, 1.188]	[-0.03289335142448544, -0.15616807629664742, 1.934]	[-0.002202903712168336, 0.22913279986381532, 1.338]
2024-07-12 18:51:53.306141	[0.031989379093050954, 0.3432856614192327, 1.186]	[-0.020945875206962228, -0.0793934715191523, 1.613]	[-0.0029602307751774785, 0.22009906125068662, 1.224]
2024-07-12 18:51:53.520133	[0.031302562706172495, 0.34556807382901517, 1.189]	[-0.019521682765334863, 0.149721964597702, 1.79]	[-0.002478145781904459, 0.23227954077720642, 1.366]
2024-07-12 18:51:53.678066	[0.03756680703163147, 0.3485144322713215, 1.184]	[-0.057454828597605236, 0.3189807074864706, 1.204]	[-0.00530289388820529, 0.25514272004365923, 1.217]
2024-07-12 18:51:53.829976	[0.05635097494348887, 0.32369403570890437, 1.185]	[-0.0947204794920981, 0.2415022980769475, 1.223]	[-0.0047941322056576615, 0.26026092103123666, 1.213]
2024-07-12 18:51:54.067767	[0.0815878435224295, 0.20348280698060986, 1.215]	[-0.1909708887934685, 0.17783574581146241, 1.808]	[-0.0059670149087905884, 0.2580386981964111, 1.216]
2024-07-12 18:51:54.252238	[0.193789471372962, -0.3117647588253022, 2.0060000000000002]	[-0.23358005126193165, -0.20870979664723072, 1.982]	[-0.00569853540044278, 0.25311306282877927, 1.215]
2024-07-12 18:51:54.493366	[0.18707469377294178, -0.7500927626490594, 2.379]	[-0.1287211653292179, -0.3409515911738077, 1.336]	[-0.006628378987312317, 0.25625697708129885, 1.216]
2024-07-12 18:51:54.693211	[0.11215776941925283, -0.9251320072015128, 2.402]	[-0.08124405806511642, -0.6342735566298168, 1.706]	[-0.0061337930560112, 0.2526984996795654, 1.216]
2024-07-12 18:51:54.887956	[0.0812600410468877, -0.9107900137702625, 2.359]	[-0.05430523753166197, -0.7072095165252686, 1.872]	[-0.007898738622665406, 0.2420140438079834, 1.216]
2024-07-12 18:51:55.166203	[0.0772475333847106, -0.8787307015359402, 2.297]	[-0.050677015341818316, -0.7129739651679993, 1.8840000000000001]	[-0.007166913835331798, 0.23222462019324303, 1.213]
2024-07-12 18:51:55.337260	[0.08008212447166442, -0.9127017173767089, 2.368]	[-0.057203159831464276, -0.6913797712326051, 1.828]	[-0.0076344295553863045, 0.25246649074554445, 1.214]
2024-07-12 18:51:55.508000	[0.07570520252734418, -0.8930167572498323, 2.322]	[-0.05975408610887823, -0.6796582956115405, 1.805]	[-0.007103496070951223, 0.2414114420413971, 1.212]
2024-07-12 18:51:55.728338	[0.06531442919746047, -0.9483472610513368, 2.435]	[-0.06989910616725686, -0.6497338435848555, 1.747]	[-0.009054917039349675, 0.24762886035442352, 1.214]
2024-07-12 18:51:55.993202	[0.02655404723435635, -1.0221986783742905, 2.566]	[-0.09215684169530866, -0.6052236455281577, 1.696]	[-0.009287297911942004, 0.22902328538894653, 1.214]
2024-07-12 18:51:56.259087	[-0.046613951995968794, -1.0860878070195517, 2.74]	[-0.12119657996669411, -0.5204122766057652, 1.6580000000000001]	[-0.006633763656020164, 0.23366115751862526, 1.213]
2024-07-12 18:51:56.536909	[-0.09928011976182462, -0.5784792117277782, 1.67]	[-6.148918868824839, -14.869174152612688, 65.535]	[-0.003318965032696724, 0.23150132727622985, 1.214]
2024-07-12 18:51:56.736521	[-0.12833228281885384, -0.447152191857497, 1.553]	[-7.188362724725157, -9.196484670639038, 65.535]	[-0.001472964626736939, 0.2586710532009602, 1.215]
2024-07-12 18:51:57.002582	[-0.12038964925333857, -0.3706827673316003, 1.395]	[-0.1712302202358842, -0.1603851467370987, 1.5]	[0.0006165312733501196, 0.2549496701955795, 1.214]
2024-07-12 18:51:57.202993	[-0.11900885627791288, -0.36589113634824755, 1.3820000000000001]	[-0.22196479551494122, -0.205882379412651, 1.95]	[0.0007394887804985046, 0.25775052070617677, 1.216]
2024-07-12 18:51:57.403404	[-0.11997684823349118, -0.3683906270563603, 1.395]	[-0.21740260653197765, -0.22616615772247314, 1.96]	[0.0015155497156083583, 0.2532067668735981, 1.217]
