timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-16 12:47:46.685220	[0.0748216952160001, 0.3871567429304123, 1.167]	[-0.11170573236420751, 0.1894476395845414, 1.665]	[0.042272820129990576, 0.4040088777542114, 1.672]
2024-07-16 12:47:46.804787	[0.05482678377628328, 0.28939264563719436, 0.851]	[-0.11885471820831302, 0.15373603566487626, 1.6640000000000001]	[0.04010374703630805, 0.37446609082818033, 1.5170000000000001]
2024-07-16 12:47:46.990066	[0.0672352141700685, 0.35425041943788527, 1.065]	[-0.10644484759122134, 0.11727044528722763, 1.411]	[0.039994999621063475, 0.37395912337303167, 1.506]
2024-07-16 12:47:47.181069	[0.06619022554904225, 0.3565706619024277, 1.066]	[-0.11315194872021676, 0.09260416799783708, 1.413]	[0.041487925976514815, 0.373682343840599, 1.508]
2024-07-16 12:47:47.305591	[0.0657309241108596, 0.3570330518484115, 1.067]	[-0.11798663525283336, 0.050150633970896454, 1.3880000000000001]	[0.04293421994894743, 0.38130342864990235, 1.572]
2024-07-16 12:47:47.511699	[0.06523280878365043, 0.35720298314094545, 1.068]	[-0.12001741348765789, 0.04078239589929581, 1.411]	[0.04422813591733575, 0.3843872968256474, 1.597]
2024-07-16 12:47:47.662241	[0.06497279866039753, 0.3573983912467956, 1.068]	[-0.1180486058872193, 0.05719283076127376, 1.393]	[0.04472551370970905, 0.3878496870398522, 1.655]
2024-07-16 12:47:47.883613	[0.06415902838110923, 0.35817936420440666, 1.065]	[-0.11645101545564827, 0.057784861624240874, 1.397]	[0.04607616327702999, 0.39473393708467486, 1.6500000000000001]
2024-07-16 12:47:48.098691	[0.0673803661353886, 0.3597244410117466, 1.067]	[-0.12267396332323548, 0.04120977163314824, 1.428]	[0.044193002097308635, 0.38052091479301453, 1.57]
2024-07-16 12:47:48.258059	[0.06682059901580212, 0.35701414199670145, 1.067]	[-0.16248944252729414, 0.005330971240997245, 1.872]	[0.045695179894566534, 0.3856787209510803, 1.598]
2024-07-16 12:47:48.503531	[0.052987434715032575, 0.28856847286224363, 0.85]	[-0.23063753084465866, -0.050913776467243786, 2.6630000000000003]	[0.047548165954649446, 0.38449833512306214, 1.6280000000000001]
2024-07-16 12:47:48.722891	[0.06711523896083235, 0.35933349609375, 1.065]	[-0.24010766456276184, -0.1438822943170866, 2.726]	[0.044746708793565626, 0.3716966975331306, 1.553]
2024-07-16 12:47:48.883463	[0.06607308525592086, 0.3570543268322944, 1.065]	[-0.262474703963846, -0.30288888585567464, 2.949]	[0.045455125942826274, 0.38170672342181206, 1.585]
2024-07-16 12:47:49.112672	[0.06628311328589914, 0.35626348495483406, 1.065]	[-0.2657147597372532, -0.41698130653301885, 3.0220000000000002]	[0.04848309013992549, 0.3828609532117844, 1.6360000000000001]
2024-07-16 12:47:49.333031	[0.06605604270100593, 0.3514335271120071, 1.063]	[-0.13015531088411805, -0.24911765917142237, 1.532]	[0.047198446601629265, 0.38658668518066414, 1.616]
2024-07-16 12:47:49.503988	[0.06562942334264514, 0.3523706545829774, 1.062]	[-0.1291348369270563, -0.2534143489201863, 1.522]	[0.04614874609932303, 0.38245150846242904, 1.609]
2024-07-16 12:47:49.675400	[0.06508184554427862, 0.34882386374473573, 1.062]	[-0.27210120152123274, -0.643091623455286, 3.333]	[0.04593359841965139, 0.38641920930147167, 1.659]
2024-07-16 12:47:49.909200	[0.064552683994174, 0.34351384546359387, 1.069]	[-0.25935572193749246, -0.6730992026925088, 3.267]	[0.0476777157112956, 0.40512909829616545, 1.676]
2024-07-16 12:47:50.078914	[0.06498035761713984, 0.3501375532150269, 1.064]	[-0.2689444947615266, -0.7858344313502311, 3.5100000000000002]	[0.04607067950069905, 0.38410690498352057, 1.6560000000000001]
2024-07-16 12:47:50.315815	[0.0640487873777747, 0.3489186662435531, 1.062]	[-0.24627478055097163, -0.8874340096215405, 3.493]	[0.043815994838252666, 0.37643723317980765, 1.593]
2024-07-16 12:47:50.537164	[0.06358413526788352, 0.3459844660758973, 1.065]	[-0.23297618888318541, -0.9288020797073843, 3.525]	[0.044978419583290824, 0.3917717514634133, 1.6460000000000001]
2024-07-16 12:47:50.773050	[0.06359264646470549, 0.3488719497919083, 1.066]	[-0.20685082270950078, -0.9547056535482408, 3.444]	[0.04408718875050545, 0.39074574378132826, 1.647]
2024-07-16 12:47:50.930278	[0.06437080997228622, 0.34903575332959486, 1.067]	[-0.19558508284203704, -0.9869155579408008, 3.503]	[0.04311833220720292, 0.3916389656066895, 1.6320000000000001]
2024-07-16 12:47:51.163366	[0.06411364490166306, 0.35127888530492773, 1.065]	[-0.19934524399414658, -0.9990937201380731, 3.5340000000000003]	[0.04399459091573953, 0.3878026358187198, 1.619]
2024-07-16 12:47:51.320169	[0.06403594667091965, 0.346156832575798, 1.065]	[-0.19981136840768154, -0.9412476271092892, 3.4370000000000003]	[0.04561661168932915, 0.39093150627613066, 1.6280000000000001]
2024-07-16 12:47:51.556536	[0.06531358415633443, 0.3472389878431955, 1.066]	[-0.2476200519874692, -0.8833059870004656, 3.612]	[0.046046654518693685, 0.38879046455025673, 1.631]
2024-07-16 12:47:51.714132	[0.06646841785311702, 0.3448062283992768, 1.068]	[-0.2636316797845065, -0.7668752000033854, 3.501]	[0.04681328876316548, 0.38221353870630265, 1.633]
2024-07-16 12:47:51.871451	[0.06398715913295744, 0.35043840289115913, 1.065]	[-0.26956529670953755, -0.6007670618693033, 3.2960000000000003]	[0.04619139017164708, 0.3929209541082383, 1.6460000000000001]
2024-07-16 12:47:52.093594	[0.06608030455559491, 0.348592749774456, 1.067]	[-0.1295243045948446, -0.2394973132312298, 1.5230000000000001]	[0.046764064896851774, 0.3846621930599213, 1.641]
2024-07-16 12:47:52.253878	[0.06557688142731782, 0.3507581397891044, 1.067]	[-0.2607155337966979, -0.4105829206903777, 3.0260000000000002]	[0.04589119276218116, 0.3844258594214916, 1.601]
2024-07-16 12:47:52.410774	[0.06535989437252282, 0.3499969987074535, 1.07]	[-0.26611218443512913, -0.34880072132746365, 2.996]	[0.04425354709848762, 0.3922362627089024, 1.645]
2024-07-16 12:47:52.630905	[0.06543817384913565, 0.351441141585509, 1.067]	[-0.2606019530743361, -0.28740195262432106, 2.919]	[0.044051274575293065, 0.39969757211208345, 1.6580000000000001]
